timestamp,datetime,step,card,VRAM%,GPU%,
1727039264.119516,2024-09-22 21:07:44,0,0,76.0,4.0
1727039264.119516,2024-09-22 21:07:44,0,1,76.0,1.0
1727039264.119516,2024-09-22 21:07:44,0,2,76.0,1.0
1727039264.119516,2024-09-22 21:07:44,0,3,76.0,1.0
1727039264.119516,2024-09-22 21:07:44,0,4,76.0,1.0
1727039264.119516,2024-09-22 21:07:44,0,5,76.0,1.0
1727039264.119516,2024-09-22 21:07:44,0,6,76.0,1.0
1727039264.119516,2024-09-22 21:07:44,0,7,76.0,1.0
1727039265.309938,2024-09-22 21:07:45,0,0,76.0,2.0
1727039265.309938,2024-09-22 21:07:45,0,1,76.0,4.0
1727039265.309938,2024-09-22 21:07:45,0,2,77.0,4.0
1727039265.309938,2024-09-22 21:07:45,0,3,77.0,3.0
1727039265.309938,2024-09-22 21:07:45,0,4,76.0,2.0
1727039265.309938,2024-09-22 21:07:45,0,5,76.0,2.0
1727039265.309938,2024-09-22 21:07:45,0,6,76.0,2.0
1727039265.309938,2024-09-22 21:07:45,0,7,76.0,2.0
1727039266.4601989,2024-09-22 21:07:46,0,0,77.0,4.0
1727039266.4601989,2024-09-22 21:07:46,0,1,77.0,2.0
1727039266.4601989,2024-09-22 21:07:46,0,2,77.0,2.0
1727039266.4601989,2024-09-22 21:07:46,0,3,77.0,2.0
1727039266.4601989,2024-09-22 21:07:46,0,4,77.0,2.0
1727039266.4601989,2024-09-22 21:07:46,0,5,77.0,2.0
1727039266.4601989,2024-09-22 21:07:46,0,6,77.0,2.0
1727039266.4601989,2024-09-22 21:07:46,0,7,77.0,2.0
1727039267.6138155,2024-09-22 21:07:47,0,0,77.0,27.0
1727039267.6138155,2024-09-22 21:07:47,0,1,77.0,23.0
1727039267.6138155,2024-09-22 21:07:47,0,2,77.0,21.0
1727039267.6138155,2024-09-22 21:07:47,0,3,77.0,20.0
1727039267.6138155,2024-09-22 21:07:47,0,4,77.0,19.0
1727039267.6138155,2024-09-22 21:07:47,0,5,77.0,18.0
1727039267.6138155,2024-09-22 21:07:47,0,6,77.0,17.0
1727039267.6138155,2024-09-22 21:07:47,0,7,77.0,16.0
1727039268.7673697,2024-09-22 21:07:48,0,0,77.0,27.0
1727039268.7673697,2024-09-22 21:07:48,0,1,77.0,23.0
1727039268.7673697,2024-09-22 21:07:48,0,2,77.0,21.0
1727039268.7673697,2024-09-22 21:07:48,0,3,77.0,20.0
1727039268.7673697,2024-09-22 21:07:48,0,4,77.0,19.0
1727039268.7673697,2024-09-22 21:07:48,0,5,77.0,18.0
1727039268.7673697,2024-09-22 21:07:48,0,6,77.0,17.0
1727039268.7673697,2024-09-22 21:07:48,0,7,77.0,16.0
1727039269.919884,2024-09-22 21:07:49,0,0,77.0,27.0
1727039269.919884,2024-09-22 21:07:49,0,1,77.0,22.0
1727039269.919884,2024-09-22 21:07:49,0,2,77.0,20.0
1727039269.919884,2024-09-22 21:07:49,0,3,77.0,19.0
1727039269.919884,2024-09-22 21:07:49,0,4,77.0,18.0
1727039269.919884,2024-09-22 21:07:49,0,5,77.0,17.0
1727039269.919884,2024-09-22 21:07:49,0,6,77.0,16.0
1727039269.919884,2024-09-22 21:07:49,0,7,77.0,15.0
1727039271.074197,2024-09-22 21:07:51,0,0,77.0,27.0
1727039271.074197,2024-09-22 21:07:51,0,1,77.0,22.0
1727039271.074197,2024-09-22 21:07:51,0,2,77.0,21.0
1727039271.074197,2024-09-22 21:07:51,0,3,77.0,19.0
1727039271.074197,2024-09-22 21:07:51,0,4,77.0,18.0
1727039271.074197,2024-09-22 21:07:51,0,5,77.0,18.0
1727039271.074197,2024-09-22 21:07:51,0,6,77.0,16.0
1727039271.074197,2024-09-22 21:07:51,0,7,77.0,15.0
1727039272.2281208,2024-09-22 21:07:52,0,0,77.0,28.0
1727039272.2281208,2024-09-22 21:07:52,0,1,77.0,23.0
1727039272.2281208,2024-09-22 21:07:52,0,2,77.0,21.0
1727039272.2281208,2024-09-22 21:07:52,0,3,77.0,20.0
1727039272.2281208,2024-09-22 21:07:52,0,4,77.0,19.0
1727039272.2281208,2024-09-22 21:07:52,0,5,77.0,18.0
1727039272.2281208,2024-09-22 21:07:52,0,6,77.0,17.0
1727039272.2281208,2024-09-22 21:07:52,0,7,77.0,16.0
1727039273.3801126,2024-09-22 21:07:53,0,0,77.0,27.0
1727039273.3801126,2024-09-22 21:07:53,0,1,77.0,22.0
1727039273.3801126,2024-09-22 21:07:53,0,2,77.0,21.0
1727039273.3801126,2024-09-22 21:07:53,0,3,77.0,20.0
